Model Name,PRAH,PRAH Accuracy,Classified,Correct Classified,Incorrect Classified,Not Classified,Correct Not Classified,Incorrect Not Classified
CIFAR10WithBackground-mode4-DistributeColor.pth,0.0,81.83,10000.0,8183.2,1816.8,0.0,0.0,0.0
CIFAR10WithBackground-mode4-DistributeColor.pth,0.1,84.58,9411.2,7960.4,1450.8,588.8,222.8,366.0
CIFAR10WithBackground-mode4-DistributeColor.pth,0.2,86.84,8907.4,7735.6,1171.8,1092.6,447.6,645.0
CIFAR10WithBackground-mode4-DistributeColor.pth,0.3,88.74,8453.8,7502.4,951.4,1546.2,680.8,865.4
CIFAR10WithBackground-mode4-DistributeColor.pth,0.4,90.6,7991.2,7240.2,751.0,2008.8,943.0,1065.8
CIFAR10WithBackground-mode4-DistributeColor.pth,0.5,92.15,7542.0,6950.2,591.8,2458.0,1233.0,1225.0
CIFAR10WithBackground-mode4-DistributeColor.pth,0.6,93.72,7026.6,6586.0,440.6,2973.4,1597.2,1376.2
CIFAR10WithBackground-mode4-DistributeColor.pth,0.7,95.33,6419.4,6120.4,299.0,3580.6,2062.8,1517.8
CIFAR10WithBackground-mode4-DistributeColor.pth,0.8,96.97,5598.8,5429.6,169.2,4401.2,2753.6,1647.6
CIFAR10WithBackground-mode4-DistributeColor.pth,0.9,98.58,4260.2,4200.0,60.2,5739.8,3983.2,1756.6
CIFAR10WithBackgroundSoftLabel-mode4-DistributeColor.pth,0.0,82.67,10000.0,8266.8,1733.2,0.0,0.0,0.0
CIFAR10WithBackgroundSoftLabel-mode4-DistributeColor.pth,0.1,85.08,9461.8,8049.8,1412.0,538.2,217.0,321.2
CIFAR10WithBackgroundSoftLabel-mode4-DistributeColor.pth,0.2,87.24,8975.2,7829.6,1145.6,1024.8,437.2,587.6
CIFAR10WithBackgroundSoftLabel-mode4-DistributeColor.pth,0.3,89.12,8535.4,7606.8,928.6,1464.6,660.0,804.6
CIFAR10WithBackgroundSoftLabel-mode4-DistributeColor.pth,0.4,90.79,8108.2,7361.2,747.0,1891.8,905.6,986.2
CIFAR10WithBackgroundSoftLabel-mode4-DistributeColor.pth,0.5,92.38,7649.0,7066.2,582.8,2351.0,1200.6,1150.4
CIFAR10WithBackgroundSoftLabel-mode4-DistributeColor.pth,0.6,93.82,7147.8,6706.0,441.8,2852.2,1560.8,1291.4
CIFAR10WithBackgroundSoftLabel-mode4-DistributeColor.pth,0.7,95.19,6565.4,6249.6,315.8,3434.6,2017.2,1417.4
CIFAR10WithBackgroundSoftLabel-mode4-DistributeColor.pth,0.8,96.73,5799.2,5609.8,189.4,4200.8,2657.0,1543.8
CIFAR10WithBackgroundSoftLabel-mode4-DistributeColor.pth,0.9,98.46,4479.0,4410.0,69.0,5521.0,3856.8,1664.2
CIFAR10WithClassSpecificBackground-mode4-DistributeColor.pth,0.0,82.49,10000.0,8249.4,1750.6,0.0,0.0,0.0
CIFAR10WithClassSpecificBackground-mode4-DistributeColor.pth,0.1,85.31,9378.2,8000.6,1377.6,621.8,248.8,373.0
CIFAR10WithClassSpecificBackground-mode4-DistributeColor.pth,0.2,87.52,8858.0,7752.2,1105.8,1142.0,497.2,644.8
CIFAR10WithClassSpecificBackground-mode4-DistributeColor.pth,0.3,89.6,8361.2,7491.8,869.4,1638.8,757.6,881.2
CIFAR10WithClassSpecificBackground-mode4-DistributeColor.pth,0.4,91.41,7869.0,7193.8,675.2,2131.0,1055.6,1075.4
CIFAR10WithClassSpecificBackground-mode4-DistributeColor.pth,0.5,92.99,7386.8,6869.6,517.2,2613.2,1379.8,1233.4
CIFAR10WithClassSpecificBackground-mode4-DistributeColor.pth,0.6,94.48,6851.0,6473.8,377.2,3149.0,1775.6,1373.4
CIFAR10WithClassSpecificBackground-mode4-DistributeColor.pth,0.7,95.85,6224.8,5967.2,257.6,3775.2,2282.2,1493.0
CIFAR10WithClassSpecificBackground-mode4-DistributeColor.pth,0.8,97.23,5353.0,5205.2,147.8,4647.0,3044.2,1602.8
CIFAR10WithClassSpecificBackground-mode4-DistributeColor.pth,0.9,98.88,3717.4,3676.0,41.4,6282.6,4573.4,1709.2
CIFAR10WithClassSpecificBackgroundSoftLabel-mode4-DistributeColor.pth,0.0,82.45,10000.0,8244.6,1755.4,0.0,0.0,0.0
CIFAR10WithClassSpecificBackgroundSoftLabel-mode4-DistributeColor.pth,0.1,85.19,9407.2,8014.0,1393.2,592.8,230.6,362.2
CIFAR10WithClassSpecificBackgroundSoftLabel-mode4-DistributeColor.pth,0.2,87.47,8879.0,7767.6,1111.4,1121.0,477.0,644.0
CIFAR10WithClassSpecificBackgroundSoftLabel-mode4-DistributeColor.pth,0.3,89.44,8394.4,7509.0,885.4,1605.6,735.6,870.0
CIFAR10WithClassSpecificBackgroundSoftLabel-mode4-DistributeColor.pth,0.4,91.09,7927.6,7222.2,705.4,2072.4,1022.4,1050.0
CIFAR10WithClassSpecificBackgroundSoftLabel-mode4-DistributeColor.pth,0.5,92.62,7453.6,6904.8,548.8,2546.4,1339.8,1206.6
CIFAR10WithClassSpecificBackgroundSoftLabel-mode4-DistributeColor.pth,0.6,94.15,6909.4,6505.8,403.6,3090.6,1738.8,1351.8
CIFAR10WithClassSpecificBackgroundSoftLabel-mode4-DistributeColor.pth,0.7,95.65,6260.6,5988.8,271.8,3739.4,2255.8,1483.6
CIFAR10WithClassSpecificBackgroundSoftLabel-mode4-DistributeColor.pth,0.8,97.09,5365.0,5209.4,155.6,4635.0,3035.2,1599.8
CIFAR10WithClassSpecificBackgroundSoftLabel-mode4-DistributeColor.pth,0.9,98.65,3734.2,3683.8,50.4,6265.8,4560.8,1705.0
CIFAR10WithDistributedClassSpecificSoftBackgroundLabels-mode4-DistributeColor.pth,0.0,83.22,10000.0,8322.2,1677.8,0.0,0.0,0.0
CIFAR10WithDistributedClassSpecificSoftBackgroundLabels-mode4-DistributeColor.pth,0.1,85.88,9412.0,8084.0,1328.0,588.0,238.2,349.8
CIFAR10WithDistributedClassSpecificSoftBackgroundLabels-mode4-DistributeColor.pth,0.2,88.12,8906.0,7849.4,1056.6,1094.0,472.8,621.2
CIFAR10WithDistributedClassSpecificSoftBackgroundLabels-mode4-DistributeColor.pth,0.3,89.97,8455.4,7608.6,846.8,1544.6,713.6,831.0
