Model Name,Default Accuracy_mean,Default Accuracy_std,ECE_mean,ECE_std,ACE_mean,ACE_std,Optim. PRAH_mean,Optim. PRAH_std
CIFAR10WithBackground-mode4-DistributeColor.pth,81.832,1.2763,0.0161,0.0038,0.0164,0.0038,0.1441,0.0412
CIFAR10WithBackgroundSoftLabel-mode4-DistributeColor.pth,82.668,0.691,0.0153,0.0035,0.0139,0.0024,0.1318,0.0502
CIFAR10WithClassSpecificBackground-mode4-DistributeColor.pth,82.494,1.7601,0.0322,0.0115,0.0323,0.0112,0.0787,0.0453
CIFAR10WithClassSpecificBackgroundSoftLabel-mode4-DistributeColor.pth,82.446,1.3801,0.0273,0.0077,0.0271,0.0078,0.1191,0.0316
CIFAR10WithDistributedClassSpecificSoftBackgroundLabels-mode4-DistributeColor.pth,83.222,2.1182,0.0309,0.0118,0.0309,0.0122,0.134,0.0589
CIFAR10WithDistributedSoftBackgroundLabels-mode4-DistributeColor.pth,82.196,0.8169,0.0157,0.0028,0.0162,0.0027,0.1083,0.0947
SegmentedCIFAR10WithObject-mode4-white.pth,82.014,1.285,0.0264,0.014,0.0283,0.0131,0.1633,0.0547
CIFAR10WithBackground-mode1-cr.size4.pth,81.71,1.1852,0.031,0.0103,0.03,0.0108,0.0966,0.0366
CIFAR10WithBackground-mode1-cr.size8.pth,79.934,2.7683,0.0175,0.011,0.0181,0.0111,0.1488,0.0679
CIFAR10WithBackground-mode2-cr.size4.pth,80.606,1.0863,0.0121,0.0019,0.0116,0.0016,0.145,0.0218
CIFAR10WithBackground-mode2-cr.size8.pth,80.088,2.4277,0.0232,0.006,0.0232,0.0059,0.1117,0.0689
CIFAR10WithBackground-mode3-cr.size4.pth,80.686,1.7727,0.023,0.0089,0.0225,0.0094,0.0919,0.0636
CIFAR10WithBackground-mode3-cr.size8.pth,82.398,1.2359,0.0228,0.0062,0.0223,0.0066,0.1048,0.0313
CIFAR10WithBackground-mode4-cr.sizeNone.pth,81.384,2.4829,0.0211,0.0043,0.0207,0.0055,0.1095,0.0427
CIFAR10WithBackgroundSoftLabel-mode1-cr.size4.pth,80.434,0.84,0.0173,0.005,0.0167,0.0038,0.1481,0.0479
CIFAR10WithBackgroundSoftLabel-mode1-cr.size8.pth,80.204,2.4344,0.0203,0.0128,0.0212,0.0113,0.1313,0.0422
CIFAR10WithBackgroundSoftLabel-mode2-cr.size4.pth,81.492,1.2603,0.0191,0.0037,0.0188,0.0043,0.1127,0.0747
CIFAR10WithBackgroundSoftLabel-mode2-cr.size8.pth,80.7,1.9065,0.0234,0.0072,0.0228,0.0091,0.1154,0.0503
CIFAR10WithBackgroundSoftLabel-mode3-cr.size4.pth,81.026,1.0445,0.0155,0.002,0.0144,0.002,0.1095,0.0448
CIFAR10WithBackgroundSoftLabel-mode3-cr.size8.pth,81.082,1.2896,0.0158,0.0027,0.0145,0.0017,0.12,0.0213
CIFAR10WithBackgroundSoftLabel-mode4-cr.sizeNone.pth,82.274,0.9199,0.0175,0.0018,0.0178,0.0026,0.1225,0.0792
CIFAR10WithClassSpecificBackground-mode1-cr.size4.pth,79.136,1.6484,0.0245,0.0062,0.0242,0.0068,0.1246,0.0654
CIFAR10WithClassSpecificBackground-mode1-cr.size8.pth,79.636,3.0399,0.0281,0.0093,0.0283,0.0104,0.1259,0.0564
CIFAR10WithClassSpecificBackground-mode2-cr.size4.pth,80.798,1.3938,0.0254,0.0088,0.026,0.0079,0.1082,0.0181
CIFAR10WithClassSpecificBackground-mode2-cr.size8.pth,78.97,1.6116,0.0242,0.0066,0.0235,0.0068,0.1145,0.1005
CIFAR10WithClassSpecificBackground-mode3-cr.size4.pth,80.522,0.6115,0.025,0.0037,0.0255,0.0035,0.1204,0.0335
CIFAR10WithClassSpecificBackground-mode3-cr.size8.pth,81.346,1.2593,0.0287,0.0055,0.0284,0.0055,0.1322,0.0345
CIFAR10WithClassSpecificBackground-mode4-cr.sizeNone.pth,82.274,1.2431,0.022,0.0047,0.0221,0.0043,0.1355,0.0524
CIFAR10WithClassSpecificBackgroundSoftLabel-mode1-cr.size4.pth,81.204,1.6659,0.0294,0.0094,0.0292,0.0086,0.1039,0.0465
CIFAR10WithClassSpecificBackgroundSoftLabel-mode1-cr.size8.pth,80.096,1.7542,0.0299,0.0047,0.0303,0.0054,0.116,0.0426
CIFAR10WithClassSpecificBackgroundSoftLabel-mode2-cr.size4.pth,78.444,3.7633,0.0303,0.0072,0.0309,0.0074,0.1708,0.0563
CIFAR10WithClassSpecificBackgroundSoftLabel-mode2-cr.size8.pth,79.454,2.271,0.0295,0.017,0.0298,0.0168,0.1084,0.0552
CIFAR10WithClassSpecificBackgroundSoftLabel-mode3-cr.size4.pth,82.27,0.9915,0.0308,0.0117,0.0306,0.0117,0.1035,0.0375
CIFAR10WithClassSpecificBackgroundSoftLabel-mode3-cr.size8.pth,81.126,1.3074,0.0225,0.0042,0.0224,0.0043,0.0888,0.0612
CIFAR10WithClassSpecificBackgroundSoftLabel-mode4-cr.sizeNone.pth,82.408,0.6178,0.0272,0.006,0.0267,0.0062,0.1111,0.0694
CIFAR10WithDistributedClassSpecificSoftBackgroundLabels-mode1-cr.size4.pth,78.902,1.0529,0.0184,0.0011,0.0193,0.0023,0.1342,0.0428
CIFAR10WithDistributedClassSpecificSoftBackgroundLabels-mode1-cr.size8.pth,78.396,4.357,0.0362,0.009,0.0361,0.0088,0.1191,0.0193
CIFAR10WithDistributedClassSpecificSoftBackgroundLabels-mode2-cr.size4.pth,80.624,1.4803,0.0323,0.0161,0.0324,0.0158,0.1386,0.0539
CIFAR10WithDistributedClassSpecificSoftBackgroundLabels-mode2-cr.size8.pth,78.124,2.966,0.0305,0.0078,0.0302,0.0076,0.1378,0.0819
CIFAR10WithDistributedClassSpecificSoftBackgroundLabels-mode3-cr.size4.pth,80.02,1.2772,0.0235,0.0058,0.0233,0.0059,0.1053,0.0185
CIFAR10WithDistributedClassSpecificSoftBackgroundLabels-mode3-cr.size8.pth,79.638,1.3203,0.0229,0.0065,0.0222,0.0061,0.0996,0.0737
CIFAR10WithDistributedClassSpecificSoftBackgroundLabels-mode4-cr.sizeNone.pth,82.47,1.1176,0.0188,0.003,0.0184,0.0039,0.1713,0.0361
CIFAR10WithDistributedSoftBackgroundLabels-mode1-cr.size4.pth,80.134,2.2656,0.0218,0.0074,0.0219,0.0081,0.1749,0.0889
