Model Name,Default Accuracy,ECE,ACE,Optim. PRAH,PRAH,PRAH Accuracy,Classified,Correct Classified,Incorrect Classified,Not Classified,Correct Not Classified,Incorrect Not Classified
CIFAR10WithBackground-mode4-DistributeColor.pth,82.97,0.0167251750826835,0.0159600656479597,0.1683,,,,,,,,
,,,,,0.0,82.97,10000.0,8297.0,1703.0,0.0,0.0,0.0
,,,,,0.1,85.73,9425.0,8080.0,1345.0,575.0,217.0,358.0
,,,,,0.2,88.06,8922.0,7857.0,1065.0,1078.0,440.0,638.0
,,,,,0.3,89.96,8476.0,7625.0,851.0,1524.0,672.0,852.0
,,,,,0.4,91.76,8042.0,7379.0,663.0,1958.0,918.0,1040.0
,,,,,0.5,93.11,7619.0,7094.0,525.0,2381.0,1203.0,1178.0
,,,,,0.6,94.5,7158.0,6764.0,394.0,2842.0,1533.0,1309.0
,,,,,0.7,95.82,6578.0,6303.0,275.0,3422.0,1994.0,1428.0
,,,,,0.8,97.32,5750.0,5596.0,154.0,4250.0,2701.0,1549.0
,,,,,0.9,98.74,4374.0,4319.0,55.0,5626.0,3978.0,1648.0
CIFAR10WithBackgroundSoftLabel-mode4-DistributeColor.pth,83.09,0.0141490958631038,0.0128923160955309,0.1205,,,,,,,,
,,,,,0.0,83.09,10000.0,8309.0,1691.0,0.0,0.0,0.0
,,,,,0.1,85.86,9417.0,8085.0,1332.0,583.0,224.0,359.0
,,,,,0.2,87.86,8961.0,7873.0,1088.0,1039.0,436.0,603.0
,,,,,0.3,89.76,8522.0,7649.0,873.0,1478.0,660.0,818.0
,,,,,0.4,91.56,8088.0,7405.0,683.0,1912.0,904.0,1008.0
,,,,,0.5,93.13,7617.0,7094.0,523.0,2383.0,1215.0,1168.0
,,,,,0.6,94.58,7100.0,6715.0,385.0,2900.0,1594.0,1306.0
,,,,,0.7,95.83,6539.0,6266.0,273.0,3461.0,2043.0,1418.0
,,,,,0.8,97.12,5735.0,5570.0,165.0,4265.0,2739.0,1526.0
,,,,,0.9,98.75,4390.0,4335.0,55.0,5610.0,3974.0,1636.0
CIFAR10WithClassSpecificBackground-mode4-DistributeColor.pth,83.73,0.0427640564739704,0.0427631959319114,0.0,,,,,,,,
,,,,,0.0,83.73,10000.0,8373.0,1627.0,0.0,0.0,0.0
,,,,,0.1,86.34,9379.0,8098.0,1281.0,621.0,275.0,346.0
,,,,,0.2,88.6,8852.0,7843.0,1009.0,1148.0,530.0,618.0
,,,,,0.3,90.68,8362.0,7583.0,779.0,1638.0,790.0,848.0
,,,,,0.4,92.49,7887.0,7295.0,592.0,2113.0,1078.0,1035.0
,,,,,0.5,93.86,7410.0,6955.0,455.0,2590.0,1418.0,1172.0
,,,,,0.6,95.46,6872.0,6560.0,312.0,3128.0,1813.0,1315.0
,,,,,0.7,96.62,6241.0,6030.0,211.0,3759.0,2343.0,1416.0
,,,,,0.8,97.86,5332.0,5218.0,114.0,4668.0,3155.0,1513.0
,,,,,0.9,99.2,3756.0,3726.0,30.0,6244.0,4647.0,1597.0
CIFAR10WithClassSpecificBackgroundSoftLabel-mode4-DistributeColor.pth,83.24,0.028909184038639,0.0297055151313543,0.1608,,,,,,,,
,,,,,0.0,83.24,10000.0,8324.0,1676.0,0.0,0.0,0.0
,,,,,0.1,85.87,9434.0,8101.0,1333.0,566.0,223.0,343.0
,,,,,0.2,88.08,8952.0,7885.0,1067.0,1048.0,439.0,609.0
,,,,,0.3,90.04,8461.0,7618.0,843.0,1539.0,706.0,833.0
,,,,,0.4,91.63,8029.0,7357.0,672.0,1971.0,967.0,1004.0
,,,,,0.5,93.07,7586.0,7060.0,526.0,2414.0,1264.0,1150.0
,,,,,0.6,94.6,7031.0,6651.0,380.0,2969.0,1673.0,1296.0
,,,,,0.7,95.83,6428.0,6160.0,268.0,3572.0,2164.0,1408.0
,,,,,0.8,97.35,5556.0,5409.0,147.0,4444.0,2915.0,1529.0
,,,,,0.9,98.74,3959.0,3909.0,50.0,6041.0,4415.0,1626.0
CIFAR10WithDistributedClassSpecificSoftBackgroundLabels-mode4-DistributeColor.pth,79.73,0.0137651897966861,0.0126777635887265,0.1941,,,,,,,,
,,,,,0.0,79.73,10000.0,7973.0,2027.0,0.0,0.0,0.0
,,,,,0.1,82.93,9316.0,7726.0,1590.0,684.0,247.0,437.0
,,,,,0.2,85.66,8726.0,7475.0,1251.0,1274.0,498.0,776.0
,,,,,0.3,87.73,8259.0,7246.0,1013.0,1741.0,727.0,1014.0
,,,,,0.4,89.72,7789.0,6988.0,801.0,2211.0,985.0,1226.0
,,,,,0.5,91.43,7301.0,6675.0,626.0,2699.0,1298.0,1401.0
,,,,,0.6,93.1,6767.0,6300.0,467.0,3233.0,1673.0,1560.0
,,,,,0.7,94.51,6133.0,5796.0,337.0,3867.0,2177.0,1690.0
,,,,,0.8,96.36,5337.0,5143.0,194.0,4663.0,2830.0,1833.0
,,,,,0.9,98.25,3934.0,3865.0,69.0,6066.0,4108.0,1958.0
CIFAR10WithDistributedSoftBackgroundLabels-mode4-DistributeColor.pth,83.26,0.0148791875690221,0.016778327524662,0.2588,,,,,,,,
,,,,,0.0,83.26,10000.0,8326.0,1674.0,0.0,0.0,0.0
,,,,,0.1,85.83,9448.0,8109.0,1339.0,552.0,217.0,335.0
,,,,,0.2,87.9,8993.0,7905.0,1088.0,1007.0,421.0,586.0
,,,,,0.3,89.89,8569.0,7703.0,866.0,1431.0,623.0,808.0
,,,,,0.4,91.39,8149.0,7447.0,702.0,1851.0,879.0,972.0
,,,,,0.5,93.18,7695.0,7170.0,525.0,2305.0,1156.0,1149.0
,,,,,0.6,94.62,7197.0,6810.0,387.0,2803.0,1516.0,1287.0
,,,,,0.7,95.99,6615.0,6350.0,265.0,3385.0,1976.0,1409.0
,,,,,0.8,97.16,5875.0,5708.0,167.0,4125.0,2618.0,1507.0
,,,,,0.9,98.83,4544.0,4491.0,53.0,5456.0,3835.0,1621.0
SegmentedCIFAR10WithObject-mode4-white.pth,83.66,0.0216648429632186,0.0247833803296089,0.1916,,,,,,,,
,,,,,0.0,83.66,10000.0,8366.0,1634.0,0.0,0.0,0.0
,,,,,0.1,85.71,9548.0,8184.0,1364.0,452.0,182.0,270.0
,,,,,0.2,87.76,9111.0,7996.0,1115.0,889.0,370.0,519.0
,,,,,0.3,89.33,8746.0,7813.0,933.0,1254.0,553.0,701.0
,,,,,0.4,90.91,8374.0,7613.0,761.0,1626.0,753.0,873.0
,,,,,0.5,92.36,7998.0,7387.0,611.0,2002.0,979.0,1023.0
,,,,,0.6,93.54,7580.0,7090.0,490.0,2420.0,1276.0,1144.0
,,,,,0.7,94.91,7057.0,6698.0,359.0,2943.0,1668.0,1275.0
,,,,,0.8,96.52,6374.0,6152.0,222.0,3626.0,2214.0,1412.0
,,,,,0.9,98.04,5261.0,5158.0,103.0,4739.0,3208.0,1531.0
CIFAR10WithBackground-mode4-DistributeColor.pth,81.18,0.0137857738882303,0.0137561429291963,0.1084,,,,,,,,
,,,,,0.0,81.18,10000.0,8118.0,1882.0,0.0,0.0,0.0
,,,,,0.1,84.21,9392.0,7909.0,1483.0,608.0,209.0,399.0
,,,,,0.2,86.34,8882.0,7669.0,1213.0,1118.0,449.0,669.0
,,,,,0.3,88.21,8431.0,7437.0,994.0,1569.0,681.0,888.0
,,,,,0.4,89.86,7989.0,7179.0,810.0,2011.0,939.0,1072.0
,,,,,0.5,91.45,7563.0,6916.0,647.0,2437.0,1202.0,1235.0
,,,,,0.6,93.23,7032.0,6556.0,476.0,2968.0,1562.0,1406.0
,,,,,0.7,94.91,6450.0,6122.0,328.0,3550.0,1996.0,1554.0
,,,,,0.8,96.56,5641.0,5447.0,194.0,4359.0,2671.0,1688.0
